userid,age,  Gender  ,location,  Income  ,debt,  Owns Property  ,profession,  Demographics  ,  Platform  ,  Total Time Spent  ,number of sessions,video id,video category,  Video Length  ,  Engagement  ,  Importance Score  ,time spent on video,  Number Of Videos Watched  ,  Scroll Rate  ,  Frequency  ,productivityloss,  Satisfaction  ,  Watch Reason  ,  Devicetype  ,  Os  ,  Watch Time  ,  Self Control  ,  Addiction Level  ,currentactivity,connectiontype,  Favorite Day Of The Week  ,coffee preference,  Random Quote  ,  Mood Today  ,  Shoe Size  ,  Breakfast Item  ,  Favorite Emoji  ,marital status,  Pet Name  
1,56,  Male  ,  Pakistan  ,82812,  True  ,  True  ,  Engineer  ,  Rural  ,  Instagram  ,80,17,4229,  Pranks  ,24,7867,5,26,22,87,  Night  ,3,7,  Procrastination  ,  Smartphone  ,  Android  ,  9:00 PM  ,5,5,  Commuting  ,  Mobile Data  ,  Sunday  ,  Black  ,  YOLO  ,  Sad  ,9,  Cereal  ,  😂  ,  Complicated  ,  Bella  
2,46,  Female  ,  Mexico  ,27999,  False  ,  True  ,  Artist  ,  Urban  ,  Instagram  ,228,14,2131,  Pranks  ,19,,6,25,31,46,  Afternoon  ,5,5,  Habit  ,  Computer  ,  Android  ,  5:00 PM  ,7,3,  At school  ,  Wi-Fi  ,  Tuesday  ,  Espresso  ,  Carpe Diem  ,  Anxious  ,5,  Cereal  ,  nan  ,  Complicated  ,  Buddy  
3,32,  Female  ,  United States  ,42436,  False  ,  True  ,  Engineer  ,  Rural  ,  Facebook  ,30,6,4367,  Vlogs  ,19,8674,3,9,7,88,  Evening  ,6,4,  Entertainment  ,  Tablet  ,  Android  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Thursday  ,  Cappuccino  ,  YOLO  ,  Happy  ,8,  Cereal  ,  🔥  ,  Divorced  ,  None  
4,60,  Male  ,  Barzil  ,62963,  True  ,  False  ,  Waiting staff  ,  Rural  ,  YouTube  ,101,19,1507,  Vlogs  ,4,2477,2,6,41,93,  Night  ,3,7,  Habit  ,  Smartphone  ,  Android  ,  9:00 PM  ,5,5,  Commuting  ,  Mobile Data  ,  Tuesday  ,  Black  ,  Carpe Diem  ,  Anxious  ,5,  Toast  ,  💡  ,  nan  ,  Max  
5,25,  Male  ,  Pakistan  ,22096,  False  ,  nan  ,  Manager  ,  Urban  ,  TikTok  ,136,6,2159,  Gaming  ,19,3093,7,13,21,4,  Morning  ,8,2,  Boredom  ,  Smartphone  ,  iOS  ,  8:00 AM  ,10,0,  At home  ,  Mobile Data  ,  Saturday  ,  Latte  ,  Keep going  ,  Happy  ,10,  Omelette  ,  🔥  ,  Divorced  ,  Bella  
6,38,  Male  ,  Vietnam  ,45279,  False  ,  False  ,  driver  ,  Urban  ,  Instagram  ,89,18,2917,  Jokes/Memes  ,9,8534,5,27,16,38,  Night  ,3,7,  Entertainment  ,  Computer  ,  Android  ,  9:00 PM  ,5,5,  At home  ,  Wi-Fi  ,  Sunday  ,  Black  ,  Carpe Diem  ,  Happy  ,5,  Omelette  ,  😴  ,  Married  ,  Buddy  
7,56,  Male  ,  India  ,46201,  nan  ,  False  ,  Students  ,  Rural  ,  TikTok  ,247,5,3230,  Vlogs  ,16,7207,9,22,20,63,  Morning  ,8,2,  nan  ,  Smartphone  ,  Android  ,  8:00 AM  ,10,0,  At school  ,  Wi-Fi  ,  Thursday  ,  None  ,  Hakuna Matata  ,  Excited  ,6,  Pancakes  ,  😊  ,  Divorced  ,  Luna  
8,36,  Male  ,  Barzil  ,39715,  False  ,  False  ,  Engineer  ,  Rural  ,  Instagram  ,191,6,9859,  Entertainment  ,27,9654,3,28,43,29,  Night  ,3,7,  Entertainment  ,  Tablet  ,  Android  ,  9:00 PM  ,5,5,  At home  ,  Mobile Data  ,  Friday  ,  Latte  ,  Carpe Diem  ,  Sad  ,10,  Omelette  ,  🔥  ,  Married  ,  Buddy  
9,40,  Male  ,  United States  ,49309,  False  ,  False  ,  Waiting staff  ,  Rural  ,  Instagram  ,34,2,6266,  Vlogs  ,4,9394,8,20,44,19,  Night  ,3,7,  Entertainment  ,  Computer  ,  Android  ,  9:00 PM  ,5,5,  At home  ,  Mobile Data  ,  Tuesday  ,  Cappuccino  ,  Carpe Diem  ,  Happy  ,,  Toast  ,  🔥  ,  Divorced  ,  Buddy  
10,28,  Other  ,  United States  ,35078,  False  ,  False  ,  Students  ,  Rural  ,  YouTube  ,165,8,4137,  ASMR  ,6,9813,6,4,47,91,  Evening  ,6,4,  Boredom  ,  Smartphone  ,  iOS  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Monday  ,  None  ,  YOLO  ,  Anxious  ,5,  Nothing  ,  😴  ,  Single  ,  Bella  
